Fecha	Número de pedido	SKU	Tipo de transacción	Tipo de pago	Detalles del pago	Monto	Cantidad	Título del producto
09/07/2020	701-4527542-0897840	PT-VL0G-IQEB	Reembolso	Tarifas de Amazon	Comisión	MXN$560.35		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
09/07/2020	701-4527542-0897840	PT-VL0G-IQEB	Reembolso	Otros	Impuesto del producto	MXN$-896.55		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
09/07/2020	701-0542820-9679439	SY-63AL-PF5L	Reembolso	Cargos de productos		MXN$-1,551.72	1	Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
09/07/2020	701-0542820-9679439	SY-63AL-PF5L	Reembolso	Tarifas de Amazon	Comisión por reembolso	MXN$-31.03		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
09/07/2020	701-0542820-9679439	SY-63AL-PF5L	Reembolso	Tarifas de Amazon	Comisión	MXN$155.18		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
09/07/2020	701-0542820-9679439	SY-63AL-PF5L	Reembolso	Otros	Impuesto del producto	MXN$-248.28		Lenovo Yoga Tablet 2 1050 25,7 cm WiFi FHD 16 GB Platino (Renewed)
09/07/2020	701-4595653-6094632	PT-VL0G-IQEB	Reembolso	Cargos de productos		MXN$-5,603.45	1	Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
09/07/2020	701-4595653-6094632	PT-VL0G-IQEB	Reembolso	Tarifas de Amazon	Comisión por reembolso	MXN$-75.01		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
09/07/2020	701-4595653-6094632	PT-VL0G-IQEB	Reembolso	Tarifas de Amazon	Comisión	MXN$560.35		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
09/07/2020	701-4595653-6094632	PT-VL0G-IQEB	Reembolso	Otros	Impuesto del producto	MXN$-896.55		Dell Latitude E5540 15.6inch Laptop, Intel Core i5-4300U, 240GB Unidad de Estado sólido, 8GB DDR3, DVDRW WIN10P64 (Renewed)
09/07/2020	702-3012423-1744213	MN-7MDI-U1BM	Reembolso	Cargos de productos		MXN$-430.17	1	ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
09/07/2020	702-3012423-1744213	MN-7MDI-U1BM	Reembolso	Tarifas de Amazon	Comisión por reembolso	MXN$-8.61		ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
09/07/2020	702-3012423-1744213	MN-7MDI-U1BM	Reembolso	Tarifas de Amazon	Comisión	MXN$43.01		ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
09/07/2020	702-3012423-1744213	MN-7MDI-U1BM	Reembolso	Otros	Impuesto del producto	MXN$-68.83		ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
09/07/2020	701-8250779-5686608	MN-7MDI-U1BM	Pago del pedido	Cargos de productos		MXN$343.97	1	ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
09/07/2020	701-8250779-5686608	MN-7MDI-U1BM	Pago del pedido	Tarifas de Amazon	Comisión	MXN$-34.39		ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
09/07/2020	701-8250779-5686608	MN-7MDI-U1BM	Pago del pedido	Tarifas de Amazon	Tarifa de gestión logística por unidad	MXN$-59.30		ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
09/07/2020	701-8250779-5686608	MN-7MDI-U1BM	Pago del pedido	Otros	Impuesto del producto	MXN$55.03		ZyXel PLA4231 500 Mbps Powerline Wireless N Extender (Renewed)
09/07/2020	702-0841536-1700259	FK-2B92-ML2C	Reembolso	Cargos de productos		MXN$-4,741.38	1	DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
09/07/2020	702-0841536-1700259	FK-2B92-ML2C	Reembolso	Tarifas de Amazon	Comisión por reembolso	MXN$-75.01		DELL Latitude 3560 Negro Portátil 39.6 cm (15.6") 1366 x 768 Pixeles 2.2 GHz Intel® CoreTM i5 de quinta generación i5-5200U - Ordenador portátil (
